# Generation 1: F, G, CV
1.933888728010330071e-02 -1.858567742510461862e-01 -2.444847172731499929e-02 -6.266105175018310547e-01 0.000000000000000000e+00
1.304247743021309976e-02 -2.858054786725998664e-01 -2.457667913053170061e-02 -5.596555471420288086e-01 0.000000000000000000e+00
1.650594120665579978e-02 8.900053361674631347e-02 -2.608148124511454335e-02 -6.050901412963867188e-01 8.900053361674631347e-02
1.244312144381790053e-02 3.095584741149437491e-02 -2.736759659398829703e-02 -6.143468618392944336e-01 3.095584741149437491e-02
1.107251476098369998e-02 -4.005107587618883525e-02 -2.937082623882066035e-02 -6.100200414657592773e-01 0.000000000000000000e+00
2.209406537891980132e-02 -9.986693703868776417e-02 -2.478518857795165842e-02 -6.026695966720581055e-01 0.000000000000000000e+00
1.836014831753519927e-02 4.357030196343519846e-02 -2.856254295582680292e-02 -6.179487705230712891e-01 4.357030196343519846e-02
1.051512276850019925e-02 2.698770019807611442e-02 -2.916460216546128137e-02 -6.111581325531005859e-01 2.698770019807611442e-02
1.490353317619800069e-02 4.767268060125651186e-02 -2.817022494818750833e-02 -6.152555942535400391e-01 4.767268060125651186e-02
1.086832641363890024e-02 1.097066403225077647e-02 -3.008181001114905440e-02 -6.117973327636718750e-01 1.097066403225077647e-02
1.540881114059390079e-02 -2.844626236441698541e-01 -2.584851020315466485e-02 -6.337139606475830078e-01 0.000000000000000000e+00
1.412148171509420083e-02 8.682086208306810660e-02 -2.630648328811856229e-02 -5.942457914352416992e-01 8.682086208306810660e-02
2.567260594557759998e-02 -8.567705083994292536e-02 -2.468129572127020221e-02 -6.178497076034545898e-01 0.000000000000000000e+00
1.801351649514049830e-02 1.067548237115615861e-01 -2.657402913212765505e-02 -5.925600528717041016e-01 1.067548237115615861e-01
1.213335410497799922e-02 -3.926315372751354449e-02 -2.620529984834348014e-02 -5.875898599624633789e-01 0.000000000000000000e+00
2.163592911178750106e-02 -2.402882893179214552e-02 -2.451687595507200113e-02 -6.239439249038696289e-01 0.000000000000000000e+00
1.082224543139180019e-02 3.223260055776500099e-02 -2.707497542537974644e-02 -6.147671937942504883e-01 3.223260055776500099e-02
1.242038913168650067e-02 9.261467403791412423e-02 -2.348290611876104050e-02 -6.175540685653686523e-01 9.261467403791412423e-02
1.307622079089119926e-02 -2.621973926089333773e-01 -2.422543605095636710e-02 -6.095415353775024414e-01 0.000000000000000000e+00
1.346398495284720047e-02 1.027591925239860760e-01 -2.444966557226142811e-02 -6.062444448471069336e-01 1.027591925239860760e-01
1.170217682368650085e-02 5.292528467572671369e-02 -3.000334999920840906e-02 -5.961724519729614258e-01 5.292528467572671369e-02
1.625595732500920154e-02 -1.144112970234190119e-02 -2.424914640053070503e-02 -6.091351509094238281e-01 0.000000000000000000e+00
1.368383423191579969e-02 9.514652031075909733e-02 -2.474482623581468477e-02 -6.063886880874633789e-01 9.514652031075909733e-02
1.191899236920830087e-02 -2.756728376261281532e-01 -2.246878100684254753e-02 -6.334908008575439453e-01 0.000000000000000000e+00
1.086874903770380062e-02 -3.946392357156858210e-02 -2.715975976517616408e-02 -5.973243713378906250e-01 0.000000000000000000e+00
1.160014894761450012e-02 7.129215395251542464e-02 -2.256591886710340722e-02 -6.113479137420654297e-01 7.129215395251542464e-02
1.316187499232959919e-02 -2.282257467885137059e-01 -2.406965204721500662e-02 -6.137266159057617188e-01 0.000000000000000000e+00
2.563226458839459876e-02 -9.979024145062465045e-03 -2.374541434738354495e-02 -6.224827766418457031e-01 0.000000000000000000e+00
1.051795444225460049e-02 2.204650952280789999e-02 -2.958998656927636084e-02 -6.091820001602172852e-01 2.204650952280789999e-02
1.792386978192130054e-02 1.245354432404649492e-02 -2.607620578760187768e-02 -6.194231510162353516e-01 1.245354432404649492e-02
1.119280171013450030e-02 3.920210635236792696e-02 -2.654632957077970867e-02 -6.161693334579467773e-01 3.920210635236792696e-02
1.667553168141509834e-02 -1.782622222529643974e-01 -2.342835199235522581e-02 -6.089465618133544922e-01 0.000000000000000000e+00
1.186350254412149932e-02 5.453772030273190685e-02 -2.439095365686902439e-02 -6.026955842971801758e-01 5.453772030273190685e-02
1.595071007959210016e-02 -2.472563965998559876e-01 -2.410895053350113615e-02 -6.175795793533325195e-01 0.000000000000000000e+00
1.920275547204169930e-02 -1.855582602536401948e-01 -2.442003757733628155e-02 -6.209931373596191406e-01 0.000000000000000000e+00
1.299810515895079982e-02 8.725353102468452748e-02 -2.395920885148115909e-02 -6.093937158584594727e-01 8.725353102468452748e-02
1.565173842267620144e-02 -2.873938257089500015e-01 -2.528367380004734044e-02 -6.258348226547241211e-01 0.000000000000000000e+00
1.100994058566510080e-02 1.894231069485308172e-02 -2.957186311417207836e-02 -6.015620231628417969e-01 1.894231069485308172e-02
1.654601295762810065e-02 -1.536109152615855455e-01 -2.573550611442528002e-02 -6.093910932540893555e-01 0.000000000000000000e+00
1.159800323487679939e-02 7.503337182051211807e-02 -2.567699056487458831e-02 -6.193209886550903320e-01 7.503337182051211807e-02
1.500402985611659981e-02 -2.861645281616703729e-01 -2.545590089415930568e-02 -6.277397871017456055e-01 0.000000000000000000e+00
2.081492949413559987e-02 4.243615989745441741e-02 -2.369989185262817710e-02 -6.248344182968139648e-01 4.243615989745441741e-02
2.124122147758929907e-02 2.056557947499132455e-02 -3.052367506328305946e-02 -6.254656314849853516e-01 2.056557947499132455e-02
1.041367303988149917e-02 1.342165979547588206e-02 -3.025783770959544761e-02 -6.143213510513305664e-01 1.342165979547588206e-02
1.410121037117299976e-02 -2.884796011619612521e-01 -2.423762202492495132e-02 -6.166709661483764648e-01 0.000000000000000000e+00
1.240375250092299979e-02 8.713886272093901431e-02 -2.412286420724653324e-02 -6.127322912216186523e-01 8.713886272093901431e-02
1.280159652471970014e-02 -2.775140041479198239e-01 -2.287524080371707014e-02 -6.238627433776855469e-01 0.000000000000000000e+00
1.436417327255000084e-02 -1.708596676543006065e-02 -2.564710529004336770e-02 -6.122407913208007812e-01 0.000000000000000000e+00
1.366454512015160064e-02 -1.665428767245743513e-01 -2.690794267456955713e-02 -6.053496599197387695e-01 0.000000000000000000e+00
2.572125087207500008e-02 4.341682798692109158e-02 -2.988918675172889949e-02 -6.210207939147949219e-01 4.341682798692109158e-02
2.003237105988520117e-02 -2.196001883855800418e-01 -2.412050440097304738e-02 -6.298412084579467773e-01 0.000000000000000000e+00
1.197309120013560074e-02 7.642987531275208246e-02 -2.411563181677962853e-02 -6.052098274230957031e-01 7.642987531275208246e-02
